Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00117665871297902,0.00223343832261028,0.182265795522625,0,0,0,15.164363593055,0.0572906265394081,-1.57508615267962E-05,-0.000714485652517766,0.0411153856813689,0.00048528814485772,0.0358191121887323,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/base_link.STL,,R2-数模腰部组件-1-1;R2-数模躯干外壳件-1-1;R2-数模手臂件-7-1;R2-数模手臂件-3-2;R2-数模手臂件-3-1;R2-数模手臂件-2-1;R2-数模手臂件-6-2;R2-数模手臂件-6-1;R2-数模手臂件-5-2;R2-数模手臂件-5-1;R2-数模手臂件-4-2;R2-数模手臂件-2-2;R2-数模手臂件-4-1;R2-数模手臂件-1-1;R2-数模手臂件-1-2;R2-数模腰部连杆件驱动轴-1-1;R2-数模腰部连杆件-1-1;R2-数模头部-2-1;R2-数模头部-1-1;R2-数模腰部连杆件-1-2;R2-数模躯干组件-1-1;R2-数模腰部连杆件驱动轴-1-2;23-LiteS001-R-1;23-LiteS001-L-1;R2-数模手臂件-7-2;R2-数模腰部硅胶外观件-1-1;R2-数模腰部件-2-1,base_link_,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_pitch,-0.00251688896073245,-0.0466794286103524,-0.0170464249414737,0,0,0,0.337531091535058,0.000472639978064759,-1.2599132814199E-06,-4.15283216904732E-06,0.000360017864797971,-3.36747191319583E-05,0.000358409876213602,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_pitch.STL,,R2-数模左腿部组件-1-1,left_leg_pitch_,left_leg_pitch_axis,left_leg_pitch,revolute,0,-0.069,-0.1065,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
left_leg_rol,-0.0327109300686486,-0.00101967891642396,-0.036621220504677,0,0,0,0.604619876832841,0.000867240931618368,-4.56710170579452E-06,-0.000219904509054264,0.000954982060712569,5.39055457507291E-06,0.000888304416437133,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_rol.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_rol.STL,,R2-数模左腿组件-2-1,left_leg_rol_,left_leg_rol_axis,left_leg_rol,revolute,0.0568021183172384,-0.0499933609251539,-0.0203353501209685,0,0,0,left_leg_pitch,-0.999981854966748,0,0.00602409638554205,0,0,0,0,,,,,,,,
left_leg_yaw,-0.00312326966809798,0.00213973651422342,-0.103905105276982,0,0,0,1.51191680217784,0.00300966586461576,-2.21039758572268E-06,0.000103772362896701,0.00260974676832353,4.35859817705421E-05,0.00235519867991485,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_leg_yaw.STL,,R2-数模左腿部组件-3-1,left_leg_yaw_,left_leg_yaw_axis,left_leg_yaw,revolute,-0.0490643162065348,0,-0.0647128063463857,0,0,0,left_leg_rol,0.00602409638554184,0,0.999981854966748,0,0,0,0,,,,,,,,
left_knee,-0.00555954244677691,0.0462597867745206,-0.112556293557122,0,0,0,1.85019341131132,0.0259199369539111,-1.46665591129737E-06,-0.0013452088545678,0.0264554649903723,4.80771450663375E-05,0.00191019510729061,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_knee.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_knee.STL,,R2-数模小腿部件-1-1;R2-数模腿部连杆件-2-1;R2-数模腿部连杆件-1-2;R2-数模腿部连杆件驱动轴-1-2;R2-数模腿部连杆件驱动轴-1-1,left_knee_,left_knee_axis,left_knee,revolute,-0.0111142763809927,-0.0412085530017904,-0.184936402204992,0,0,0,left_leg_yaw,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch,-2.64456067249064E-06,-0.0190000024338323,-0.00812720824388935,0,0,0,0.0171591478812247,2.4558210811628E-06,-1.64871514418719E-12,1.17577213395154E-10,3.26464904844395E-06,-4.73794122307032E-13,2.25510633303583E-06,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_ankle_pitch.STL,,R2-数模脚部十字轴件-1-1,left_ankle_pitch_,left_ankle_pitch_axis,left_ankle_pitch,revolute,0.00135310640938061,0.0652085530017903,-0.41306557482202,0,0,0,left_knee,0,1,0,0,0,0,0,,,,,,,,
left_ankle_raw,0.00170486123041018,6.0147815533762E-08,-0.0260856488682867,0,0,0,0.62930389291396,0.000363233257575954,1.43405477460658E-09,-8.96417225263399E-06,0.00232893464645625,-9.43626799502072E-11,0.00261354084496982,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_ankle_raw.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/left_ankle_raw.STL,,R2-数模脚部件-1-1,left_ankle_raw_,left_ankle_raw_axis,left_ankle_raw,revolute,0.0159999999999991,-0.0189999999999976,-0.015075332712404,0,0,0,left_ankle_pitch,-1,0,0,0,0,0,0,,,,,,,,
right_leg_pitch,-0.00254724983396937,0.0432466227118576,-0.0132085590391079,0,0,0,0.386381137410511,0.000557023051915317,-3.73583415146485E-07,-2.02194105837585E-06,0.000420066199047437,6.49223073608652E-05,0.00040739545655328,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_pitch.STL,,R2-数模右腿部组件-1-1,right_leg_pitch_,right_leg_pitch_axis,right_leg_pitch,revolute,0,0.069,-0.1065,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_leg_rol,-0.0311875648003793,0.000817095546093854,-0.0349200421575037,0,0,0,0.212465072062616,0.000310038371729108,3.2238256397354E-06,-7.64310577723677E-05,0.000338004108548057,-8.21170641634305E-07,0.000320633301142525,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_rol.STL,1,1,1,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_rol.STL,,R2-数模右腿部组件-2-1,right_leg_rol_,right_leg_rol_axis,right_leg_rol,revolute,0.0566994535557624,0.0500066390748463,-0.019919331853025,0,0,0,right_leg_pitch,0.999999160144006,0,0.00129603675970074,0,0,0,0,,,,,,,,
right_leg_yaw,-0.00305348144212537,-0.00214822476480814,-0.104161073565511,0,0,0,0.561993600216927,0.0034288059641219,-7.71691207481304E-06,-0.000166475811846329,0.00329783254612417,-0.000111546607627749,0.000900842320072032,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://23-TR-R2人形机器人0815/meshes/right_leg_yaw.STL,,R2-数模右腿部组件-3-1,right_leg_yaw_,right_leg_yaw_axis,right_leg_yaw,revolute,-0.0485892971500358,0,-0.0650702284651375,0,0,0,right_leg_rol,-0.00129603675970052,0,0.999999160144006,0,0,0,0,,,,,,,,
